,id,code,buy_date,hold_days
285,a2,A079970,20190605,22
286,a2,A079970,20190710,120
287,a2,A084990,20180621,14
288,a2,A086520,20200103,1
289,a2,A086520,20200109,8
290,a2,A096610,20190422,3
291,a2,A096610,20190426,3
292,a2,A100220,20190618,30
293,a2,A100700,20201130,2
294,a3,A087260,20201203,14
295,a3,A000910,20201223,1
296,a4,A043200,20200123,2
297,a4,A011000,20200323,2
298,a4,A009190,20200903,5
299,a4,A005690,20201110,2
300,a4,A005360,20200803,9
301,a4,A003490,20201116,1
302,a4,A003000,20200327,8
303,a4,A218150,20200408,4
304,a4,A226320,20200908,41
305,a4,A252670,20200325,2
306,a4,A043340,20200330,6
307,a4,A051915,20200821,1
308,a4,A051915,20200825,18
309,a4,A054780,20200413,70
310,a4,A057880,20200909,4
311,a4,A064260,20200401,1
312,a4,A252670,20200824,1
313,a4,A174900,20200410,1
314,a4,A150840,20200316,1
315,a4,A144510,20200413,11
316,a4,A131370,20200317,1
317,a4,A131220,20200910,2
318,a4,A118000,20200826,17
319,a4,A101390,20200408,2
320,a4,A100130,20200724,5
321,a4,A096530,20200327,1
322,a4,A084680,20200407,4
323,a4,A084650,20200325,1
324,a4,A079550,20200605,6
325,a4,A078590,20200309,1
326,a4,A065950,20200820,1
327,a4,A203650,20200519,40
328,a4,A011000,20200408,1
329,a4,A012280,20200512,18
330,a4,A013000,20200129,28
331,a4,A023150,20200331,1
332,a4,A064550,20200723,1
333,a4,A025980,20200421,12
334,a4,A026890,20200724,4
335,a4,A285130,20200330,32
336,a4,A263690,20200414,87
337,a4,A032190,20200731,26
338,a4,A033830,20200326,8
339,a5,A035420,20200810,1
340,a5,A034020,20201015,10
341,a5,A034020,20201012,2
342,a5,A034020,20200907,1
343,a5,A032850,20200730,2
344,a5,A032500,20200805,4
345,a5,A014160,20201118,7
346,a5,A026960,20201029,12
347,a5,A026890,20200914,12
348,a5,A026890,20200804,18
349,a5,A024060,20201118,5
350,a5,A016670,20200827,1
351,a5,A015710,20200806,3
352,a5,A035420,20200706,22
353,a5,A326030,20200702,2
354,a5,A299660,20200810,1
355,a5,A262260,20200716,1
356,a5,A253450,20200715,13
357,a5,A246690,20201126,1
358,a5,A246690,20201030,18
359,a5,A236200,20200731,1
360,a5,A222420,20201124,1
361,a5,A220260,20200811,1
362,a5,A218410,20200731,1
363,a5,A217600,20201117,1
364,a5,A215790,20201210,1
365,a5,A192650,20200914,16
366,a5,A192080,20200703,1
367,a5,A143210,20201124,2
368,a5,A136480,20201130,6
369,a5,A136480,20200703,1
370,a5,A131390,20200825,2
371,a5,A131370,20200901,1
372,a5,A131370,20200826,2
373,a5,A131220,20201118,1
374,a5,A123040,20200708,11
375,a5,A111870,20201124,3
376,a5,A103840,20200826,1
377,a5,A097780,20200902,4
378,a5,A000660,20200709,15
379,a5,A000660,20200731,1
380,a5,A000660,20200804,5
381,a5,A000720,20200701,19
382,a5,A000720,20200831,5
383,a5,A000720,20200910,22
384,a5,A001820,20200902,3
385,a5,A002410,20200806,1
386,a5,A003000,20200827,8
387,a5,A005380,20200630,14
388,a5,A005380,20200910,2
389,a5,A005385,20200630,4
390,a5,A005420,20200910,2
391,a5,A005690,20200807,14
392,a5,A005930,20200731,1
393,a5,A005930,20200804,24
394,a5,A005930,20200923,11
395,a5,A005935,20200630,3
396,a5,A007700,20200728,4
397,a5,A008700,20201202,16
398,a5,A010060,20200813,6
399,a5,A010140,20200810,1
400,a5,A011280,20201021,3
401,a5,A011370,20201117,1
402,a5,A011930,20200825,2
403,a5,A091990,20200707,19
404,a5,A091580,20200902,3
405,a5,A090430,20200703,1
406,a5,A089150,20200810,1
407,a5,A086980,20201014,2
408,a5,A083790,20200902,3
409,a5,A082740,20200914,8
410,a5,A080470,20200701,2
411,a5,A080470,20200623,3
412,a5,A073640,20200828,1
413,a5,A068270,20200706,1
414,a5,A067630,20201120,1
415,a5,A065950,20200810,1
416,a5,A052420,20201015,35
417,a5,A051910,20200710,14
418,a5,A048530,20200807,2
419,a5,A043200,20200910,14
420,a5,A041190,20201125,4
421,a5,A041190,20201119,3
422,a5,A041190,20201113,2
423,a5,A041140,20200804,24
424,a5,A035720,20200924,14
425,a5,A035720,20200626,5
426,a5,A035420,20201008,6
427,a5,A035420,20200907,1
428,a5,A035420,20200812,7
429,a6,A033640,20200310,3
430,a6,A027360,20200820,27
431,a6,A017180,20200406,13
432,a6,A011000,20200626,1
433,a6,A007570,20200320,1
434,a6,A006400,20200310,3
435,a6,A003670,20200310,3
436,a6,A003520,20200901,20
437,a6,A001200,20200811,3
438,a6,A336260,20201008,12
439,a6,A323990,20201030,21
440,a6,A323990,20201027,2
441,a6,A299660,20201130,1
442,a6,A299660,20201013,10
443,a6,A299660,20201005,4
444,a6,A298380,20200618,2
445,a6,A298380,20190408,216
446,a6,A298060,20201211,1
447,a6,A298060,20201126,1
448,a6,A298060,20200811,8
449,a6,A294630,20200507,6
450,a6,A294140,20200807,1
451,a6,A293780,20200610,1
452,a6,A293780,20200605,1
453,a6,A289080,20201021,4
454,a6,A289080,20200928,10
455,a6,A285130,20201008,12
456,a6,A285130,20200515,3
457,a6,A263050,20200828,38
458,a6,A263050,20190408,210
459,a6,A260660,20200406,2
460,a6,A238090,20200220,4
461,a6,A227950,20201203,1
462,a6,A214370,20200722,16
463,a6,A192390,20201006,4
464,a6,A182400,20201210,1
465,a6,A179290,20201005,5
466,a6,A131100,20200908,31
467,a6,A128940,20190409,211
468,a6,A027360,20201008,15
469,a6,A121600,20200811,3
470,a6,A108230,20200814,1
471,a6,A102940,20200701,6
472,a6,A101490,20200310,3
473,a6,A097780,20201012,1
474,a6,A096530,20200618,9
475,a6,A096530,20200528,1
476,a6,A096530,20200515,2
477,a6,A095700,20200827,23
478,a6,A095700,20200818,2
479,a6,A095700,20200727,14
480,a6,A095700,20200618,15
481,a6,A095700,20200616,1
482,a6,A091990,20201006,39
483,a6,A086900,20200529,1
484,a6,A084650,20200326,7
485,a6,A081000,20200629,2
486,a6,A078130,20200928,17
487,a6,A068760,20200603,1
488,a6,A068270,20200709,26
489,a6,A068270,20200611,3
490,a6,A068270,20200609,1
491,a6,A068270,20200601,1
492,a6,A067080,20200820,2
493,a6,A061250,20200406,25
494,a6,A053030,20200826,2
495,a6,A052420,20201013,11
496,a6,A052260,20200511,11
497,a6,A052260,20200408,17
498,a6,A041960,20200424,14
499,a6,A037950,20200228,8
500,a6,A037950,20200221,1
501,a6,A034940,20200406,2
502,a6,A034730,20200617,41
503,a6,A034730,20200520,6
504,a6,A033640,20200318,15
505,a7,A114120,20191017,9
506,a7,A115450,20200729,21
507,a7,A117670,20191114,2
508,a7,A118990,20200915,6
509,a7,A118990,20200924,1
510,a7,A118990,20200928,3
511,a7,A118990,20201030,2
512,a7,A118990,20201105,10
513,a7,A118990,20201202,15
514,a7,A119500,20200909,64
515,a7,A121600,20200715,6
516,a7,A121600,20200804,2
517,a7,A121600,20200810,1
518,a7,A121600,20200813,5
519,a7,A121800,20201201,12
520,a7,A122990,20200715,14
521,a7,A123040,20190516,42
522,a7,A123040,20200914,3
523,a7,A123040,20201006,2
524,a7,A123420,20200828,1
525,a7,A123890,20201022,4
526,a7,A124500,20200528,19
527,a7,A126600,20201111,25
528,a7,A126700,20200217,99
529,a7,A126700,20200714,4
530,a7,A126700,20200729,6
531,a7,A126880,20191028,4
532,a7,A126880,20191106,46
533,a7,A126880,20200904,5
534,a7,A128820,20190412,41
535,a7,A131030,20191106,42
536,a7,A131220,20201110,1
537,a7,A131220,20201118,2
538,a7,A131370,20200424,1
539,a7,A095340,20201211,9
540,a7,A095340,20200729,11
541,a7,A095190,20200616,2
542,a7,A095190,20190531,6
543,a7,A094360,20190725,6
544,a7,A094170,20200911,1
545,a7,A094170,20190417,3
546,a7,A093380,20200921,8
547,a7,A093370,20200904,1
548,a7,A093370,20200807,2
549,a7,A093370,20200117,16
550,a7,A093370,20200110,2
551,a7,A093370,20190508,38
552,a7,A093370,20190321,31
553,a7,A093230,20190614,1
554,a7,A092600,20190904,7
555,a7,A092220,20201216,3
556,a7,A092220,20201210,3
557,a7,A092220,20201126,4
558,a7,A092220,20201119,3
559,a7,A092220,20201015,2
560,a7,A092220,20200922,10
561,a7,A131370,20200625,2
562,a7,A131370,20200713,16
563,a7,A131760,20191118,2
564,a7,A131760,20200123,152
565,a7,A131970,20200827,3
566,a7,A136540,20200420,19
567,a7,A136540,20200616,4
568,a7,A137400,20200807,1
569,a7,A138490,20200708,1
570,a7,A141080,20200421,7
571,a7,A142280,20191120,20
572,a7,A142760,20190319,42
573,a7,A151860,20190321,3
574,a7,A151860,20190403,7
575,a7,A151860,20190416,4
576,a7,A151860,20190516,28
577,a7,A151860,20200911,2
578,a7,A160980,20200116,19
579,a7,A092200,20200522,2
580,a7,A092190,20201120,1
581,a7,A092190,20200730,6
582,a7,A092190,20200724,3
583,a7,A091990,20200422,6
584,a7,A091990,20200323,5
585,a7,A091990,20200116,11
586,a7,A091990,20191024,8
587,a7,A091990,20191007,10
588,a7,A091700,20201207,1
589,a7,A091700,20200214,76
590,a7,A091580,20200921,64
591,a7,A091580,20200907,6
592,a7,A091580,20200205,7
593,a7,A090470,20191030,5
594,a7,A090460,20200813,21
595,a7,A090460,20200709,4
596,a7,A090460,20200214,85
597,a7,A090460,20200203,3
598,a7,A090460,20191104,55
599,a7,A090460,20191022,4
600,a7,A090410,20200114,2
601,a7,A089470,20201030,4
602,a7,A089470,20200917,2
603,a7,A089010,20200811,24
604,a7,A087260,20200924,5
605,a7,A087260,20200305,2
606,a7,A086520,20200624,16
607,a7,A086520,20200416,10
608,a7,A086520,20200204,5
609,a7,A086390,20200710,1
610,a7,A086040,20200728,4
611,a7,A086040,20200320,1
612,a7,A086040,20200311,3
613,a7,A084850,20200729,49
614,a7,A084850,20200619,2
615,a7,A084850,20200427,2
616,a7,A084650,20200731,18
617,a7,A084650,20200727,3
618,a7,A083500,20191107,6
619,a7,A083310,20200903,7
620,a7,A081000,20200707,2
621,a7,A079980,20200305,1
622,a7,A078600,20200622,4
623,a7,A078520,20200422,4
624,a7,A078340,20191112,22
625,a7,A078160,20200827,1
626,a7,A078130,20190806,2
627,a7,A078070,20200527,2
628,a7,A077360,20200407,2
629,a7,A074610,20191101,2
630,a7,A074600,20200715,7
631,a7,A074600,20200520,25
632,a7,A073490,20200708,3
633,a7,A072520,20201127,2
634,a7,A072470,20200212,2
635,a7,A072130,20200103,1
636,a7,A071670,20200327,19
637,a7,A071280,20200914,54
638,a7,A071280,20200520,40
639,a7,A069620,20200428,10
640,a7,A069620,20200421,1
641,a7,A069080,20200810,4
642,a7,A069080,20200709,12
643,a7,A068940,20200513,3
644,a7,A068330,20201119,1
645,a7,A068330,20201016,3
646,a7,A068270,20200206,8
647,a7,A068270,20190917,4
648,a7,A068240,20200420,4
649,a7,A067900,20200727,1
650,a7,A067630,20191015,1
651,a7,A067630,20190917,9
652,a7,A067310,20191212,4
653,a7,A067290,20200407,2
654,a7,A066970,20200804,3
655,a7,A066970,20191105,46
656,a7,A066910,20200303,29
657,a7,A066590,20200327,105
658,a7,A066570,20200716,2
659,a7,A066570,20190320,19
660,a7,A066570,20190315,2
661,a7,A066130,20190801,20
662,a7,A065530,20200123,9
663,a7,A065530,20190923,6
664,a7,A065530,20190417,12
665,a7,A065130,20201124,4
666,a7,A065130,20200507,59
667,a7,A064260,20200908,21
668,a7,A064260,20200303,2
669,a7,A064260,20200226,2
670,a7,A064240,20190604,26
671,a7,A063440,20200916,4
672,a7,A063080,20200904,2
673,a7,A061970,20200903,7
674,a7,A061970,20200604,22
675,a7,A061970,20200114,72
676,a7,A061970,20190520,23
677,a7,A061250,20201118,1
678,a7,A061250,20200807,12
679,a7,A060720,20200217,85
680,a7,A060720,20200211,3
681,a7,A060370,20200603,20
682,a7,A060250,20200219,6
683,a7,A060250,20200204,6
684,a7,A060250,20200113,13
685,a7,A059120,20190716,43
686,a7,A059090,20200806,19
687,a7,A059090,20200724,1
688,a7,A059090,20200526,18
689,a7,A059090,20200316,2
690,a7,A059090,20200207,14
691,a7,A059090,20200204,2
692,a7,A059090,20191016,13
693,a7,A059090,20190419,30
694,a7,A058820,20200806,6
695,a7,A058820,20190507,9
696,a7,A057540,20200918,9
697,a7,A057540,20200914,2
698,a7,A057540,20200714,13
699,a7,A057500,20200914,1
700,a7,A057500,20200708,6
701,a7,A056700,20200921,48
702,a7,A054940,20190725,1
703,a7,A054780,20200210,2
704,a7,A054210,20190419,17
705,a7,A054090,20200123,7
706,a7,A053030,20201120,10
707,a7,A053030,20201007,23
708,a7,A053030,20200728,8
709,a7,A053030,20200724,1
710,a7,A053030,20200714,4
711,a7,A052600,20201111,2
712,a7,A052600,20190503,110
713,a7,A052600,20190408,6
714,a7,A052420,20191126,33
715,a7,A052420,20191007,31
716,a7,A052260,20191125,1
717,a7,A051915,20200811,11
718,a7,A051915,20200804,4
719,a7,A051910,20191104,3
720,a7,A051370,20201221,2
721,a7,A051370,20191105,28
722,a7,A051160,20201201,4
723,a7,A051160,20200721,4
724,a7,A051160,20191106,47
725,a7,A051160,20190408,4
726,a7,A050890,20200914,1
727,a7,A050890,20200831,2
728,a7,A050890,20200629,2
729,a7,A050890,20200327,20
730,a7,A050110,20200327,60
731,a7,A049480,20191218,8
732,a7,A049480,20191121,12
733,a7,A049480,20191105,7
734,a7,A049480,20190711,38
735,a7,A048530,20200514,8
736,a7,A048530,20191008,11
737,a7,A048410,20190408,17
738,a7,A048260,20191022,5
739,a7,A047820,20200924,7
740,a7,A047820,20200903,3
741,a7,A047400,20201120,6
742,a7,A047400,20200729,6
743,a7,A047400,20200626,1
744,a7,A046890,20200728,2
745,a7,A046440,20200625,10
746,a7,A046440,20200615,2
747,a7,A046440,20200526,13
748,a7,A046120,20190820,2
749,a7,A045390,20200421,1
750,a7,A044960,20200303,2
751,a7,A044340,20191010,5
752,a7,A043340,20200326,1
753,a7,A043290,20200908,3
754,a7,A043220,20200918,1
755,a7,A042700,20200810,1
756,a7,A042700,20200204,17
757,a7,A042670,20200908,3
758,a7,A042510,20200901,53
759,a7,A042040,20201120,1
760,a7,A041960,20200514,43
761,a7,A041960,20200228,1
762,a7,A041920,20200327,11
763,a7,A041910,20190909,4
764,a7,A041510,20191015,5
765,a7,A041190,20190626,83
766,a7,A040910,20200909,3
767,a7,A039860,20200706,6
768,a7,A039860,20200625,6
769,a7,A039560,20200731,2
770,a7,A039560,20200602,1
771,a7,A039440,20200526,39
772,a7,A038290,20200617,33
773,a7,A038290,20200615,1
774,a7,A038060,20200915,35
775,a7,A037760,20200211,3
776,a7,A037270,20200911,6
777,a7,A036930,20201208,1
778,a7,A036930,20190702,13
779,a7,A036890,20201006,50
780,a7,A036830,20200424,4
781,a7,A036830,20200122,8
782,a7,A036830,20190918,9
783,a7,A036710,20200211,3
784,a7,A036570,20191118,21
785,a7,A036540,20200918,37
786,a7,A036540,20200803,29
787,a7,A036540,20200108,4
788,a7,A036540,20190503,1
789,a7,A036480,20200128,2
790,a7,A036200,20200915,52
791,a7,A036200,20200807,2
792,a7,A036200,20200729,4
793,a7,A036200,20200507,15
794,a7,A036120,20201007,2
795,a7,A035720,20200716,9
796,a7,A035720,20200709,2
797,a7,A035720,20200625,9
798,a7,A035720,20200421,7
799,a7,A035600,20200806,21
800,a7,A035600,20200616,3
801,a7,A035600,20200206,14
802,a7,A035460,20190430,4
803,a7,A035420,20200828,4
804,a7,A035420,20200710,9
805,a7,A034220,20200810,3
806,a7,A034220,20190416,12
807,a7,A034020,20200803,4
808,a7,A033530,20200917,33
809,a7,A033530,20200611,11
810,a7,A033240,20200811,8
811,a7,A033180,20201005,1
812,a7,A033180,20191114,34
813,a7,A033170,20190430,38
814,a7,A032850,20200827,56
815,a7,A032640,20200810,2
816,a7,A032640,20200618,2
817,a7,A032500,20200810,13
818,a7,A032500,20200709,4
819,a7,A032500,20200414,11
820,a7,A032500,20200213,30
821,a7,A032500,20200114,15
822,a7,A031390,20200611,17
823,a7,A031330,20200924,2
824,a7,A030520,20200914,33
825,a7,A030520,20200707,1
826,a7,A030200,20190930,4
827,a7,A029960,20190313,9
828,a7,A028300,20200207,7
829,a7,A028300,20191115,51
830,a7,A028300,20190820,3
831,a7,A028260,20200616,1
832,a7,A027740,20200427,3
833,a7,A027740,20190614,65
834,a7,A027580,20191017,12
835,a7,A027410,20201217,5
836,a7,A026890,20201126,1
837,a7,A025900,20200807,1
838,a7,A025550,20201012,26
839,a7,A025320,20201012,8
840,a7,A025320,20191001,3
841,a7,A024900,20190419,16
842,a7,A023900,20201215,2
843,a7,A023600,20200619,1
844,a7,A021050,20200203,1
845,a7,A020150,20200625,22
846,a7,A020150,20200128,10
847,a7,A020150,20191217,20
848,a7,A020150,20190726,4
849,a7,A019550,20200716,17
850,a7,A019540,20191007,49
851,a7,A019170,20200826,3
852,a7,A019170,20200326,6
853,a7,A018880,20200416,2
854,a7,A018880,20200225,3
855,a7,A018620,20200907,8
856,a7,A018620,20200807,2
857,a7,A161580,20200504,18
858,a7,A161580,20200911,3
859,a7,A164060,20200903,9
860,a7,A170030,20201203,6
861,a7,A177830,20201127,2
862,a7,A178320,20191212,3
863,a7,A178320,20200319,5
864,a7,A178320,20200602,18
865,a7,A178320,20200706,2
866,a7,A178320,20200709,7
867,a7,A181710,20200709,2
868,a7,A182360,20190417,68
869,a7,A182400,20200916,3
870,a7,A185490,20200626,27
871,a7,A187870,20201016,27
872,a7,A192440,20190422,13
873,a7,A192650,20200722,4
874,a7,A195500,20200714,1
875,a7,A195870,20200511,43
876,a7,A195870,20200914,68
877,a7,A200130,20190320,32
878,a7,A200230,20200129,13
879,a7,A200230,20200331,58
880,a7,A200470,20200506,29
881,a7,A200470,20200908,38
882,a7,A203450,20190624,122
883,a7,A203650,20200214,53
884,a7,A203650,20200518,1
885,a7,A203650,20200806,27
886,a7,A203650,20200916,10
887,a7,A203650,20201008,38
888,a7,A204320,20201006,25
889,a7,A204620,20190604,10
890,a7,A205100,20190508,167
891,a7,A205100,20200327,11
892,a7,A205470,20201124,2
893,a7,A205470,20201130,14
894,a7,A207760,20191010,14
895,a7,A207760,20200203,3
896,a7,A207760,20200612,3
897,a7,A207760,20200709,16
898,a7,A207940,20190917,5
899,a7,A207940,20200128,5
900,a7,A207940,20200413,4
901,a7,A207940,20200624,1
902,a7,A208340,20191023,9
903,a7,A214270,20190613,1
904,a7,A214270,20190617,171
905,a7,A214270,20200424,4
906,a7,A214610,20201123,16
907,a7,A214870,20200922,11
908,a7,A215100,20190416,29
909,a7,A215380,20200403,13
910,a7,A215600,20191004,2
911,a7,A215600,20191015,5
912,a7,A215600,20191031,2
913,a7,A217730,20191218,9
914,a7,A217730,20200323,4
915,a7,A217730,20200520,5
916,a7,A218410,20190823,2
917,a7,A218410,20200212,17
918,a7,A218410,20200309,1
919,a7,A218410,20200417,58
920,a7,A220260,20191028,7
921,a7,A220260,20200701,4
922,a7,A220260,20200805,1
923,a7,A222800,20200915,58
924,a7,A226330,20200904,1
925,a7,A226440,20190611,155
926,a7,A226950,20201007,3
927,a7,A228760,20200327,9
928,a7,A229640,20190516,11
929,a7,A229640,20200907,52
930,a7,A230240,20200518,4
